property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,Kiran Residency,sector 56,1.55,7750,2000,Super Built up area 2000(185.81 sq.m.),3,3,3,5,north,Old,2000.0,,,0,1,0,0,0,0,52
house,Independent,sohna road,1.5,14245,1054,Plot area 117(97.83 sq.m.),2,3,,1,north,New Property,,1055.0,,1,0,0,1,0,0,69
flat,Umang Winter Hills,sector 77,0.71,5305,1338,Super Built up area 1342(124.68 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),2,2,2,6,north-west,Relatively New,1342.0,,810.0,1,0,0,0,0,1,108
house,SS Residency Residency Aaron Ville,sector 49,6.5,18808,3455,Plot area 384(321.07 sq.m.),5,2,,2,north-east,Relatively New,,3463.0,,1,1,0,1,0,0,28
flat,Experion The Heartsong,sector 108,2.29,8240,2779,Built Up area: 2779 (258.18 sq.m.),4,2,3+,8,south,Relatively New,,2779.0,,0,1,0,0,0,1,95
house,Independent,sector 27,8.0,26262,3046,Plot area 338(282.61 sq.m.),2,3,,4,north-east,Relatively New,,3048.0,,1,1,1,1,0,2,110
flat,Emaar MGF The Palm Drive,sector 66,3.0,15384,1950,Super Built up area 1950(181.16 sq.m.)Built Up area: 1720 sq.ft. (159.79 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),3,3,2,12,east,Relatively New,1950.0,1720.0,1620.0,0,1,0,0,0,1,96
house,Independent,sector 36,0.75,6938,1076,Built Up area: 1081 (100.43 sq.m.),3,1,,1,na,Undefined,,1081.0,,0,0,0,0,0,1,0
flat,Experion The Heartsong,sector 108,3.0,18392,1631,Super Built up area 2779(258.18 sq.m.)Built Up area: 2204.25 sq.ft. (204.78 sq.m.)Carpet area: 1631.07 sq.ft. (151.53 sq.m.),4,2,3+,2,south-west,Relatively New,2779.0,1631.0,1631.0,0,1,0,0,0,2,149
flat,Tulip Violet,sector 69,1.7,8457,2010,Super Built up area 2010(186.74 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),4,4,2,10,south-west,Relatively New,2010.0,,1610.0,1,1,1,1,0,1,174
house,Independent,sector 3,0.9,9290,8712,Built Up area: 112 (10.41 sq.m.),3,3,,2,na,Undefined,,112.0,,0,0,0,0,0,1,0
flat,DLF The Skycourt,sector 86,1.72,8916,1929,Super Built up area 1929(179.21 sq.m.),3,3,1,8,north,Relatively New,1929.0,,,0,0,0,0,1,0,49
flat,Residency Grand,sector 52,5.0,7692,6500,Carpet area: 5200 (483.1 sq.m.),5,4,3+,1,east,Moderately Old,,,5200.0,0,1,0,1,0,1,77
flat,Sobha City,sector 108,3.95,16859,2343,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,2,3,25,na,Undefined,,2343.0,2300.0,0,0,0,0,0,1,59
flat,Pyramid Elite,sector 86,0.45,7846,5166,Carpet area: 573.54 (53.28 sq.m.),2,2,1,12,na,Undefined,,,574.0,0,0,0,0,0,1,30
flat,Vatika,sector 83,0.83,6666,1245,Super Built up area 1245(115.66 sq.m.)Built Up area: 1154 sq.ft. (107.21 sq.m.)Carpet area: 945 sq.ft. (87.79 sq.m.),2,2,2,12,north,Relatively New,1245.0,1154.0,945.0,0,0,0,1,0,1,165
flat,Tulip Violet,sector 69,1.36,8618,1578,Super Built up area 1578(146.6 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),3,3,1,12,west,Relatively New,1578.0,,1039.0,0,0,0,1,0,1,95
flat,SS Residency Residency Radiance Residency,sector 12,0.6,5660,1060,Carpet area: 1060 (98.48 sq.m.),3,3,2,3,north-east,Relatively New,,,1060.0,0,0,0,0,0,1,44
flat,Tulip Violet,sector 69,1.7,10773,1578,Super Built up area 1578(146.6 sq.m.),3,3,2,0,south-east,Relatively New,1578.0,,,0,0,0,1,0,1,49
flat,Tata Primanti,sector 72,3.85,13253,2905,Super Built up area 2905(269.88 sq.m.),4,2,3+,13,north,Relatively New,2905.0,,,0,1,0,0,0,0,174
flat,Krisumi Waterfall Residences,sector 36a,2.3,15551,1479,Built Up area: 1479 (137.4 sq.m.),2,2,2,23,na,Undefined,,1479.0,,0,0,0,0,0,1,58
flat,ATS Triumph,sector 104,4.45,6846,6500,Carpet area: 6500 (603.87 sq.m.),4,3,3+,27,north,Relatively New,,,6500.0,0,0,0,0,0,1,110
flat,Emaar MGF Emerald Estate,sector 65,1.75,12544,1395,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),3,3,3,10,north-east,Relatively New,1395.0,,809.0,0,1,0,0,0,0,124
flat,Guru Gram Haryana Cghs,sector 56,1.39,7227,1923,Super Built up area 1920(178.37 sq.m.),3,1,3,4,north,Moderately Old,1920.0,,,1,0,0,0,0,0,134
flat,Emaar MGF Emerald Floors Premier,sector 65,2.7,16363,1650,Carpet area: 1650 (153.29 sq.m.),3,3,3,5,north-west,Relatively New,,,1650.0,0,1,1,0,0,0,108
house,Independent,sector 7,2.25,16892,1334,Built Up area: 148 (123.75 sq.m.),5,3,,2,na,Undefined,,1335.0,,0,0,0,0,0,1,0
flat,Emaar MGF The Palm Drive,sector 66,3.0,14285,2100,Super Built up area 2100(195.1 sq.m.),4,2,3+,10,east,Relatively New,2100.0,,,0,1,0,0,0,0,49
flat,Prime Habitat,sector 99a,0.32,4657,6183,Super Built up area 687(63.82 sq.m.)Built Up area: 601 sq.ft. (55.83 sq.m.)Carpet area: 448 sq.ft. (41.62 sq.m.),2,2,1,7,na,Relatively New,687.0,601.0,448.0,0,0,0,0,0,1,44
flat,Emaar Digihomes,sector 62,2.45,16000,1531,Built Up area: 1200 (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,7,north-east,New Property,,1200.0,1000.0,1,0,0,0,0,2,174
flat,Sare Homes,sector 92,0.56,4729,1184,Carpet area: 1184 (110 sq.m.),3,1,3,1,east,Moderately Old,,,1184.0,0,0,0,0,0,0,75
flat,Imperia The Esfera,sector 37c,1.4,5384,2600,Super Built up area 2600(241.55 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,2,3,9,north,Relatively New,2600.0,,2100.0,1,1,0,1,1,1,49
flat,Park Royal Apartment,sector 56,1.71,7600,2250,Built Up area: 2251 (209.12 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,3,3+,5,north-east,Moderately Old,,2251.0,2250.0,0,1,0,0,0,0,118
flat,Shree Vardhman Flora,sector 90,0.65,4814,1350,Super Built up area 1350(125.42 sq.m.),2,2,3,10,north,Moderately Old,1350.0,,,1,0,0,0,0,0,83
flat,BPTP Pedestal,sector 70a,1.9,9500,2000,Carpet area: 1900 (176.52 sq.m.),4,3,3,2,east,New Property,,,1900.0,0,0,1,0,0,1,133
flat,Pareena Coban Residences,sector 99a,1.35,6761,1997,Super Built up area 1997(185.53 sq.m.),3,2,3,6,na,New Property,1997.0,,,0,1,0,0,1,1,60
house,Independent,sector 56,8.0,9654,8286,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),2,3,,4,na,Relatively New,,8286.0,,1,1,0,1,0,2,107
flat,DLF The Primus,sector 82a,2.7,10481,2576,Super Built up area 2576(239.32 sq.m.)Carpet area: 1306 sq.ft. (121.33 sq.m.),4,4,3+,18,east,Moderately Old,2576.0,,1306.0,0,1,0,0,0,1,38
flat,M Woodshire,sector 107,1.7,6141,2768,Super Built up area 2768(257.16 sq.m.),4,2,3+,9,south,Relatively New,2768.0,,,0,1,0,0,0,1,79
flat,Central Park Resorts,sector 48,3.65,15240,2395,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),3,3,3+,9,north-west,Relatively New,1870.0,1869.0,,0,0,0,0,1,0,157
flat,Sare Homes,sector 92,0.95,4750,2000,Super Built up area 2000(185.81 sq.m.)Built Up area: 1983 sq.ft. (184.23 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),4,3,2,17,east,New Property,2000.0,1983.0,1900.0,0,0,0,0,0,1,7
house,Unitech Aspen Greens,sector 50,7.0,32354,2163,Plot area 240(200.67 sq.m.),4,4,,2,east,Old,,2164.0,,0,1,0,0,0,1,29
flat,Godrej Nature Plus,sector 33,1.65,14335,1151,Carpet area: 1151 (106.93 sq.m.),2,2,3,1,east,Undefined,,,1151.0,0,0,0,0,0,1,38
flat,SS Residency Residency The Leaf,sector 85,2.0,6578,3040,Super Built up area 2812(261.24 sq.m.),4,2,3+,1,south-east,Relatively New,2812.0,,,0,1,1,0,0,1,106
flat,DLF Regency Park,sector 28,1.91,16608,1150,Carpet area: 1150 (106.84 sq.m.),2,2,2,11,na,New Property,,,1150.0,0,0,0,0,0,2,98
flat,Zara Aavaas,sector 104,0.4,7029,5121,Super Built up area 569(52.86 sq.m.),2,2,1,14,na,Relatively New,569.0,,,0,0,0,0,0,1,38
flat,ATS Kocoon,sector 109,2.22,10596,2095,Super Built up area 2095(194.63 sq.m.),3,3,3,20,east,Relatively New,2095.0,,,0,1,0,0,1,1,79
flat,Shree Vardhman Victoria,sector 70,1.8,9230,1950,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,4,3,2,south-west,New Property,1950.0,,1161.0,0,1,0,0,1,1,45
flat,Smart World Orchard,sector 61,1.57,13652,1150,Built Up area: 1150 (106.84 sq.m.),2,2,2,3,na,New Property,,1150.0,,1,0,0,0,1,1,71
flat,Signature Global Park,sohna road,0.55,7355,6732,Carpet area: 745 (69.21 sq.m.),2,2,3,4,east,New Property,,,745.0,0,0,0,0,0,1,80
flat,Sare Crescent Parc Royal Greens Phase,sector 92,0.79,6086,1298,Super Built up area 1298(120.59 sq.m.),3,2,2,15,na,New Property,1298.0,,,0,0,0,0,0,1,25
flat,Park View Apartments,sector 15,1.6,11034,1450,Carpet area: 1450 (134.71 sq.m.),3,3,3+,2,north-west,Moderately Old,,,1450.0,0,0,0,1,0,1,56
flat,Smart World Orchard,sector 61,2.2,13496,1630,Carpet area: 1630 (151.43 sq.m.),3,3,2,3,na,New Property,,,1630.0,0,0,0,0,0,1,16
flat,Sare Homes,sector 92,0.95,4871,1950,Super Built up area 1950(181.16 sq.m.),4,3,3,13,na,New Property,1950.0,,,0,0,0,0,0,1,0
flat,DLF The Ultima,sector 81,3.45,12012,2872,Super Built up area 2872(266.82 sq.m.),4,4,3+,10,east,New Property,2872.0,,,0,1,0,0,0,2,165
flat,Tarc Maceo,sector 91,0.87,6641,1310,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,9,north-west,Relatively New,1310.0,,1000.0,0,0,1,0,0,1,78
flat,Paras Dews,sector 106,0.95,6859,1385,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2,north,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,1,49
flat,Pioneer Araya,sector 62,9.95,20995,4739,Super Built up area 4739(440.27 sq.m.)Carpet area: 3219 sq.ft. (299.05 sq.m.),4,2,3,12,south-east,Relatively New,4739.0,,3219.0,0,1,0,1,0,0,138
flat,CHD Avenue,sector 71,1.1,6790,1620,Super Built up area 1620(150.5 sq.m.),3,3,3,11,na,Relatively New,1620.0,,,0,0,0,0,1,1,72
flat,Godrej Oasis,sector 88a,1.15,9856,1167,Carpet area: 108.4,2,2,1,12,na,New Property,,,108.0,1,0,0,0,0,1,79
flat,BPTP Terra,sector 37d,1.78,8124,2191,Super Built up area 2191(203.55 sq.m.),4,3,3,10,east,Relatively New,2191.0,,,0,1,0,0,0,1,127
flat,Shapoorji Pallonji Joyville,sector 102,1.28,10534,1215,Super Built up area 1215(112.88 sq.m.),2,2,3,10,east,Relatively New,1215.0,,,0,0,0,0,0,1,49
house,Independent,sector 23,5.0,16244,3078,Plot area 342(285.96 sq.m.),4,4,,2,east,Old,,3084.0,,0,0,0,0,0,1,7
flat,ATS Kocoon,sector 109,2.2,10023,2195,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,8,north-east,Relatively New,2095.0,1860.0,,0,1,0,0,0,1,156
flat,Godrej Summit,sector 104,1.1,8669,1269,Super Built up area 1269(117.89 sq.m.),2,2,3,16,east,Undefined,1269.0,,,0,0,0,0,1,1,88
house,Independent,sector 43,2.1,4250,4940,Plot area 61(51 sq.m.),2,2,,5,west,New Property,,550.0,,0,1,0,0,0,1,20
flat,Ambience Creacions,sector 22,1.75,12700,1378,Super Built up area 1380(128.21 sq.m.),2,2,2,11,na,New Property,1380.0,,,0,0,0,0,0,1,57
flat,Breez Global Heights,sohna road,0.39,4105,8550,Super Built up area 950(88.26 sq.m.)Built Up area: 720 sq.ft. (66.89 sq.m.)Carpet area: 610 sq.ft. (56.67 sq.m.),2,2,2,3,na,Relatively New,950.0,720.0,610.0,0,0,0,0,0,1,0
flat,Essel Towers,sector 14,2.2,12500,1760,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3,north-west,Undefined,,,1760.0,0,0,0,0,0,1,0
house,Independent,sector 9,0.22,7407,2709,Carpet area: 33 (27.59 sq.m.),2,2,,1,na,Undefined,,,33.0,0,0,0,0,0,1,0
flat,Godrej Air,sector 85,1.83,10005,1829,Carpet area: 1829 (169.92 sq.m.),3,3,3+,18,na,New Property,,,1829.0,0,0,0,0,0,1,110
flat,Sare Crescent Parc,sector 92,0.5,5000,1000,Super Built up area 1000(92.9 sq.m.),2,2,2,2,na,Relatively New,1000.0,,,0,0,0,0,1,1,72
house,Independent,sector 105,0.6,11102,4842,Plot area 60(50.17 sq.m.),2,2,,3,west,New Property,,541.0,,0,0,0,0,0,1,17
flat,Bestech Park View Ananda,sector 81,0.9,6618,1360,Super Built up area 1360(126.35 sq.m.),2,2,3,8,na,New Property,1360.0,,,0,0,0,0,1,1,60
house,Independent,sector 105,0.74,7400,1001,Built Up area: 1000 (92.9 sq.m.),3,3,,2,na,Undefined,,1000.0,,0,0,0,0,0,1,0
house,Shivaji Nagar Residential,sector 11,3.08,11407,2701,Built Up area: 2700 (250.84 sq.m.),6,4,,1,na,Undefined,,2700.0,,0,0,0,0,0,1,0
flat,Godrej,sector 79,1.93,8532,2262,Super Built up area 2262(210.15 sq.m.),3,4,3+,5,east,Relatively New,2262.0,,,0,1,0,0,0,1,158
flat,Pooja Apartment,sector 3,0.25,3571,6300,Carpet area: 700 (65.03 sq.m.),2,2,2,2,east,Relatively New,,,700.0,0,0,0,0,0,1,0
house,Independent,sector 31,3.25,22429,1453,Plot area 161(134.62 sq.m.),4,4,,3,na,Moderately Old,,1452.0,,1,1,1,1,0,0,29
flat,Krisumi Waterfall Residences,sector 36a,4.1,15500,2645,Carpet area: 2538 (235.79 sq.m.),3,4,3,30,na,New Property,,,2538.0,1,0,0,0,0,2,49
house,Independent,sector 12,1.7,8000,2002,Built Up area: 2000 (185.81 sq.m.),5,2,,3,na,Moderately Old,,2000.0,,0,0,0,1,1,1,9
house,Independent,new gurgaon phase 1,2.0,14914,1345,Plot area 1341(124.58 sq.m.),2,2,,3,east,Relatively New,,1341.0,,1,0,0,1,0,0,36
flat,Godrej Air,sector 85,2.6,12212,2129,Built Up area: 2129 (197.79 sq.m.),3,3,3,17,na,New Property,,2129.0,,0,1,0,0,0,1,44
flat,Mariners Home,sector 56,2.11,8612,2450,Super Built up area 2450(227.61 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3,2,3,4,south,Relatively New,2450.0,2250.0,2150.0,0,0,0,0,1,0,126
flat,Ansal Height Height Heights,sector 86,1.05,5541,1895,Super Built up area 1895(176.05 sq.m.),3,3,3,9,north-east,Undefined,1895.0,,,0,1,0,0,0,1,0
flat,Pioneer Park,sector 61,2.0,11764,1700,Super Built up area 1700(157.94 sq.m.),3,3,3,24,north-west,Moderately Old,1700.0,,,0,0,0,0,0,0,75
flat,M Woodshire,sector 107,1.3,8922,1457,Super Built up area 1943(180.51 sq.m.)Built Up area: 1554 sq.ft. (144.37 sq.m.)Carpet area: 1457 sq.ft. (135.36 sq.m.),3,1,3+,4,west,Relatively New,1943.0,1554.0,1457.0,0,0,0,1,0,0,174
flat,Tulip Violet,sector 69,1.4,8928,1568,Super Built up area 1568(145.67 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,1,12,north,Relatively New,1568.0,,1200.0,0,0,0,1,0,1,174
house,Independent,sector 57,3.49,20197,1732,Plot area 192(160.54 sq.m.),4,4,,3,south-east,Moderately Old,,1732.0,,1,1,0,1,0,0,49
flat,DLF The Arbour,sector 63,7.8,19747,3950,Built Up area: 3950 (366.97 sq.m.),4,4,0,6,na,Undefined,,3950.0,,0,0,0,0,0,1,61
flat,M Skywalk,sector 74,1.6,9512,1682,Super Built up area 1682(156.26 sq.m.)Carpet area: 1345 sq.ft. (124.95 sq.m.),2,2,2,26,south,Relatively New,1682.0,,1345.0,0,0,0,0,0,0,158
flat,ATS Triumph,sector 104,2.3,10000,2300,Carpet area: 2290 (212.75 sq.m.),3,4,3+,15,north-east,New Property,,,2290.0,0,1,0,0,0,1,117
flat,CHD Avenue,sector 71,1.2,7407,1620,Super Built up area 1620(150.5 sq.m.),3,1,3,4,north,Relatively New,1620.0,,,0,0,0,0,1,0,49
flat,Smart World Orchard,sector 61,2.1,13750,1527,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,2,3,3,south,New Property,1549.0,,1500.0,0,0,0,0,0,1,146
flat,Vatika City,sector 49,1.69,8622,1960,Carpet area: 1960 (182.09 sq.m.),3,3,3,3,north,Moderately Old,,,1960.0,0,0,0,1,0,1,136
flat,Raheja Sampada,sector 92,0.9,6569,1370,Super Built up area 1370(127.28 sq.m.),3,2,3,11,east,Relatively New,1370.0,,,0,0,0,0,0,1,88
flat,Godrej,sector 79,2.03,9046,2244,Super Built up area 2244(208.47 sq.m.),3,4,3+,7,south-east,Relatively New,2244.0,,,0,1,0,0,0,1,118
house,Nitin Vihar,sector 33,0.85,9444,8136,Plot area 900(83.61 sq.m.),3,2,,1,west,Relatively New,,900.0,,0,0,0,0,0,1,15
house,Independent,sector 4,0.6,12387,4356,Plot area 57(5.3 sq.m.),3,3,,2,na,Old,,57.0,,0,0,0,0,1,1,0
flat,Umang Monsoon Breeze,sector 78,0.69,5390,1280,Carpet area: 1280 (118.92 sq.m.),2,2,2,11,na,Moderately Old,,,1280.0,0,0,0,0,0,1,60
flat,M Capital,sector 113,2.51,14800,1696,Super Built up area 1695(157.47 sq.m.),3,3,3+,2,north-west,Under Construction,1695.0,,,1,0,0,0,0,1,49
house,Independent,sector 24,11.0,28868,3810,Plot area 3806.45(353.63 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.),2,4,,3,east,Old,,5000.0,,1,1,0,1,1,0,39
flat,Nbcc Heights,sector 89,0.75,6578,1140,Super Built up area 1140(105.91 sq.m.),2,2,2,6,na,Moderately Old,1140.0,,,0,0,0,0,0,1,0
flat,Ireo The Corridors,sector 67a,2.08,12044,1727,Super Built up area 1727(160.44 sq.m.),3,3,2,6,na,Undefined,1727.0,,,0,0,0,0,1,1,55
house,BPTP Astaire Gardens,sector 70a,6.5,24155,2690,Plot area 299(250 sq.m.),4,4,,2,north-east,New Property,,2697.0,,1,1,0,1,0,0,160
flat,Rose Apartment,sector 28,3.0,10482,2862,Super Built up area 2862(265.89 sq.m.),3,2,3+,8,na,Old,2862.0,,,0,0,0,0,0,1,0
house,Independent,sector 4,0.47,8012,5616,Plot area 624(57.97 sq.m.),2,1,,1,east,Moderately Old,,624.0,,0,0,1,0,0,1,0
house,Independent,sector 3,0.37,7916,4356,Built Up area: 480 (44.59 sq.m.),1,1,,1,na,Relatively New,,480.0,,0,0,0,0,0,1,0
flat,Pareena Coban Residences,sector 99a,1.05,6774,1550,Super Built up area 1550(144 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2,2,3,2,east,Relatively New,1550.0,1390.0,1240.0,1,0,0,0,0,1,49
flat,AIPL Zen Residences,sector 70a,1.75,10257,1706,Built Up area: 1706 (158.49 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,4,3+,20,north-east,Relatively New,,1706.0,1050.0,0,0,0,0,1,2,49
house,Independent,sector 43,14.0,39897,3509,Plot area 390(326.09 sq.m.),2,3,,4,north,Moderately Old,,3517.0,,0,1,0,0,0,1,7
flat,DLF The Skycourt,sector 86,1.5,9740,1540,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),3,3,3+,18,west,Relatively New,1929.0,1780.0,1540.0,1,0,0,0,0,1,174
flat,AIPL Club Residences,sector 70a,0.85,9139,8370,Super Built up area 930(86.4 sq.m.),2,2,2,5,south-east,Relatively New,930.0,,,0,0,0,0,0,0,45
flat,Tulip Violet,sector 69,1.36,8841,1538,Super Built up area 1538(142.88 sq.m.),3,3,1,12,north-west,Relatively New,1538.0,,,0,0,0,1,0,1,86
flat,Vatika City,sector 49,3.6,11920,3020,Carpet area: 3020 (280.57 sq.m.),4,2,3,7,na,Moderately Old,,,3020.0,0,1,0,1,0,2,15
flat,Sare Crescent Parc,sector 92,0.9,4278,2104,Super Built up area 1870(173.73 sq.m.),4,2,3+,14,north-east,Relatively New,1870.0,,,0,1,0,0,1,1,62
flat,Maruti Vihar Colony,sector 28,0.95,8886,1069,Carpet area: 1069 (99.31 sq.m.),2,1,1,1,na,Old,,,1069.0,0,0,0,0,0,1,59
flat,Global Height,sohna road,0.45,6338,6390,Carpet area: 710 (65.96 sq.m.),2,2,2,6,east,Relatively New,,,710.0,0,0,0,0,0,2,49
flat,SS Residency Residency The Leaf,sector 85,2.2,6934,3173,Super Built up area 2812(261.24 sq.m.),4,2,3+,4,east,Relatively New,2812.0,,,0,0,0,0,0,1,106
flat,Raheja Vedaanta,sector 108,1.5,5263,2850,Built Up area: 2850 (264.77 sq.m.),3,4,0,12,na,Undefined,,2850.0,,0,0,0,0,0,1,0
flat,Sare Green Parc Phase,sector 92,1.08,5150,2097,Super Built up area 2090(194.17 sq.m.),4,4,2,16,na,New Property,2090.0,,,0,1,0,0,0,1,107
flat,Umang Winter Hills,sector 77,0.75,5588,1342,Super Built up area 1342(124.68 sq.m.)Built Up area: 1180 sq.ft. (109.63 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,2,7,north-east,Relatively New,1342.0,1180.0,1050.0,0,0,0,0,0,0,174
house,Independent,sector 25,4.35,32330,1345,Plot area 150(125.42 sq.m.),5,4,,3,north,Old,,1353.0,,0,1,0,0,0,1,49
flat,Spaze Privvy The Address,sector 93,1.45,8033,1805,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,2,12,north-east,Relatively New,1805.0,1350.0,1100.0,0,0,0,0,0,0,96
house,Independent,sector 3,3.5,9210,3799,Built Up area: 3800 (353.03 sq.m.),1,1,,1,na,Undefined,,3800.0,,0,0,0,0,0,1,0
flat,Puri Emerald Bay,sector 104,2.45,10000,2450,Super Built up area 2450(227.61 sq.m.)Carpet area: 1840 sq.ft. (170.94 sq.m.),3,4,3+,14,south,Relatively New,2450.0,,1840.0,0,1,0,0,0,0,56
flat,M Merlin,sector 67,2.78,13580,2047,Super Built up area 2047(190.17 sq.m.),3,1,3+,4,south-west,Relatively New,2047.0,,,0,0,0,1,0,0,157
flat,Brisk Lumbini Terrace Homes,sector 109,1.5,6616,2267,Carpet area: 2267 (210.61 sq.m.),3,1,1,4,north,New Property,,,2267.0,0,1,0,0,0,1,37
flat,Mapsko Royale Ville,sector 82,1.12,6256,1790,Super Built up area 1790(166.3 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12,north-east,Relatively New,1790.0,,1400.0,0,0,0,1,0,1,49
flat,Emaar Imperial Gardens,sector 102,1.91,9550,2000,Super Built up area 2000(185.81 sq.m.)Carpet area: 1228.17 sq.ft. (114.1 sq.m.),3,4,2,17,east,Relatively New,2000.0,,1228.0,1,1,0,0,0,0,152
flat,Signature Global Park,sohna road,0.52,6326,7398,Carpet area: 822 (76.37 sq.m.),2,2,2,3,north-west,Relatively New,,,822.0,0,0,0,1,0,1,161
house,DLF City Plots Phase,sector 25,4.25,31587,1345,Plot area 150(125.42 sq.m.),3,2,,2,north,Old,,1353.0,,1,0,0,0,0,1,35
flat,Vatika Boulevard Residences And Heights,sector 83,1.42,8000,1775,Carpet area: 1775 (164.9 sq.m.),3,3,2,2,west,Relatively New,,,1775.0,0,0,0,0,0,0,113
flat,Ireo The Corridors,sector 67a,2.0,11428,1750,Super Built up area 1750(162.58 sq.m.),3,3,3,12,na,New Property,1750.0,,,1,0,0,0,0,1,38
flat,Signature Global Orchard Avenue,sector 93,0.85,14237,5373,Built Up area: 597 (55.46 sq.m.),2,2,0,10,na,Undefined,,597.0,,0,0,0,0,0,1,0
flat,The Ivy,sushant lok,6.0,15765,3806,Built Up area: 3806 (353.59 sq.m.),4,2,3,2,north-east,Undefined,,3806.0,,0,0,0,0,0,1,0
house,Independent,sector 105,1.3,11556,1130,Built Up area: 1125 (104.52 sq.m.),3,3,,1,east,Undefined,,1125.0,,0,0,0,0,0,1,0
flat,ATS Triumph,sector 104,2.78,8825,3150,Super Built up area 3150(292.64 sq.m.),4,4,3+,11,south,Relatively New,3150.0,,,0,1,0,0,0,1,110
house,Independent,sector 28,11.75,41349,2841,Plot area 316(264.22 sq.m.),4,2,,4,east,Relatively New,,2850.0,,1,1,1,0,0,0,54
flat,Central Park Flower Valley,sector 33,3.3,13750,2400,Carpet area: 2400 (222.97 sq.m.),3,3,3,2,na,Under Construction,,,2400.0,1,1,1,1,0,1,61
flat,Jammu And Kashmir Bank Employees Cghs,sector 9a,0.94,6064,1550,Carpet area: 1550 (144 sq.m.),3,3,2,5,east,Moderately Old,,,1550.0,0,0,0,0,0,0,85
flat,Sare Crescent Parc,sector 92,0.87,4971,1750,Super Built up area 1750(162.58 sq.m.),4,4,2,2,east,Moderately Old,1750.0,,,0,0,1,0,0,2,115
house,Independent,sector 12,0.7,4117,1700,Plot area 1700(157.94 sq.m.),4,4,,2,na,Moderately Old,,1700.0,,0,0,0,0,0,1,0
flat,Tulip Violet,sector 69,1.68,8358,2010,Super Built up area 2010(186.74 sq.m.),4,4,2,2,north-west,Relatively New,2010.0,,,0,0,0,1,0,1,112
flat,ATS Triumph,sector 104,2.6,8813,2950,Super Built up area 3150(292.64 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),4,4,3+,16,east,Relatively New,3150.0,,2950.0,0,1,0,0,0,0,150
flat,Emaar MGF The Enclave,sector 66,1.9,10555,1800,Super Built up area 1920(178.37 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,4,2,8,north-east,Relatively New,1920.0,1850.0,1800.0,0,1,0,0,0,0,174
flat,Vatika Lifestyle Homes,sector 83,1.05,5982,1755,Super Built up area 1755(163.04 sq.m.),3,3,2,14,south-west,Relatively New,1755.0,,,1,1,1,1,0,0,174
flat,Tata Primanti,sector 72,3.5,11428,3063,Built Up area: 2625 (243.87 sq.m.),4,2,3+,10,west,Relatively New,,2625.0,,0,1,0,0,1,1,38
