property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
flat,Sector 39,2208,Old,3,4,0,1,0,3,Furnished,Average,Low-rise,1.75
house,Sector 43,2345,New Property,4,1,0,1,1,2,Furnished,High,Mid-rise,5.75
flat,Sector 102,1300,Relatively New,3,3,0,1,0,3,Semi-furnished,Average,High-rise,1.4
flat,Sector 99,1365,New Property,2,2,0,0,0,3,Semi-furnished,Average,Basement/Ground Floor,0.82
flat,Sector 71,1631,Moderately Old,3,4,0,1,0,3,Semi-furnished,Medium,Basement/Ground Floor,1.12
flat,Sector 85,1263,Relatively New,2,2,0,0,0,3,Semi-furnished,Medium,High-rise,1.15
house,Sector 104,872,Moderately Old,4,2,1,1,0,1,Semi-furnished,Low,Low-rise,0.8
flat,Sector 88B,1350,New Property,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.92
flat,Sector 92,2307,Relatively New,4,4,0,1,0,2,Semi-furnished,Medium,High-rise,1.12
flat,Sector 78,1472,Moderately Old,3,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,0.8
flat,Sector 9A,2580,Old,4,4,0,0,0,3+,Semi-furnished,Low,Mid-rise,1.3
flat,Sector 65,3150,Relatively New,4,3,0,1,0,2,Semi-furnished,Low,Low-rise,3.2
flat,Sector 56,1900,Old,4,3,0,0,0,3+,Un-furnished,Average,Low-rise,1.59
flat,Sector 83,1600,Relatively New,3,3,0,1,0,3,Un-furnished,High,Mid-rise,1.75
flat,Sector 69,1392,Relatively New,3,3,0,0,0,1,Un-furnished,Medium,High-rise,1.3
flat,Sector 70A,842,Relatively New,2,2,0,0,0,2,Un-furnished,Average,Mid-rise,0.85
flat,Sector 104,1538,New Property,2,3,0,1,0,3,Semi-furnished,Average,Skyscraper,1.8
house,Pratap Nagar,1700,Relatively New,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,1.4
house,Sector 48,3247,Old,4,2,0,1,0,1,Semi-furnished,Average,Low-rise,8.5
flat,Sector 70A,1793,Relatively New,3,4,0,1,0,3,Semi-furnished,Average,Skyscraper,2.8
flat,Sector 81,1900,New Property,3,4,0,1,0,3+,Furnished,High,High-rise,2.26
flat,Sector 85,1550,New Property,2,2,0,0,0,3,Semi-furnished,Medium,High-rise,1.04
flat,Sector 107,2137,Relatively New,3,4,0,1,0,3+,Semi-furnished,Medium,Mid-rise,1.4
flat,Sector 67,1852,Relatively New,3,3,0,0,0,3,Un-furnished,Average,Basement/Ground Floor,2.98
flat,Sector 36A,500,Relatively New,1,1,0,0,0,1,Semi-furnished,Low,Mid-rise,0.45
flat,Sector 81,1650,Relatively New,3,3,0,1,0,3+,Furnished,Average,High-rise,2.4
flat,Sector 43,1320,Old,3,3,0,0,0,3,Un-furnished,Medium,Low-rise,1.35
house,Sector 109,5411,Relatively New,4,4,0,1,0,1,Semi-furnished,Medium,Low-rise,6.25
flat,Sector 69,1819,Relatively New,4,4,0,0,0,2,Un-furnished,High,High-rise,1.85
flat,Sector 83,1600,Relatively New,3,1,0,1,0,3,Un-furnished,High,Mid-rise,1.72
house,Sector 48,3247,Relatively New,4,4,1,1,1,1,Un-furnished,Medium,Low-rise,7.8
house,Sector 26,1804,Relatively New,4,3,0,0,1,3,Semi-furnished,Low,Low-rise,5.8
flat,Sector 71,500,Relatively New,1,1,0,0,0,2,Un-furnished,Average,Low-rise,0.37
house,Sector 43,1650,Moderately Old,1,1,0,0,0,3,Semi-furnished,Low,Low-rise,2.15
flat,Sector 66,3500,Relatively New,4,4,1,1,1,3+,Un-furnished,High,High-rise,4.85
house,Sector 105,1200,Moderately Old,3,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.7
flat,Sector 86,938,Relatively New,2,3,1,0,0,3,Un-furnished,Average,Mid-rise,1.3
flat,Sector 66,1072,Relatively New,2,2,0,0,0,2,Semi-furnished,Medium,Mid-rise,1.7
flat,Sector 102,1757,Moderately Old,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,1.82
flat,Sector 90,1640,Relatively New,3,3,0,0,0,3,Semi-furnished,High,Mid-rise,1.25
flat,Sector 103,1253,Relatively New,2,3,0,1,0,3,Semi-furnished,Medium,Low-rise,0.89
flat,Sector 61,1269,New Property,2,2,0,0,0,2,Semi-furnished,Low,Mid-rise,1.6
flat,Sector 67A,1343,New Property,3,3,0,1,0,2,Un-furnished,Average,High-rise,1.7
flat,Sector 90,2139,Relatively New,4,4,0,1,0,3+,Semi-furnished,Medium,Low-rise,1.55
flat,Sector 56,1719,Moderately Old,3,3,0,0,0,3+,Un-furnished,Medium,Low-rise,1.45
flat,Sector 82A,2104,Relatively New,4,2,0,1,0,3+,Furnished,High,High-rise,2.95
house,Sector 82,1700,New Property,3,3,0,0,0,3,Semi-furnished,Medium,Low-rise,1.4
flat,Sector 108,1480,New Property,3,3,0,0,0,2,Semi-furnished,High,High-rise,2.5
flat,Sector 91,1145,Relatively New,2,2,0,0,1,2,Semi-furnished,Medium,Mid-rise,0.87
flat,Sector 85,2179,New Property,3,2,0,0,0,3,Semi-furnished,Low,Low-rise,2.15
flat,Sector 102,1757,Relatively New,3,4,0,1,0,3+,Semi-furnished,High,High-rise,1.9
